Title,Artists,Song URL
Daylight,David Kushner,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
Acróstico,Shakira,https://open.spotify.com/track/7txjUEY6McJDJKqIo1Rxjp
Say Yes To Heaven,Lana Del Rey,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe
Here With Me,d4vd,https://open.spotify.com/track/78Sw5GDo6AlGwTwanjXbGh
People,Libianca,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz
golden hour,JVKE,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey",https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot
Tak Segampang Itu,Anggi Marito,https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU
Abcdario,"Eden Muñoz, Junior H",https://open.spotify.com/track/0qCPD6ilr9nXkI4KVZgcns
Those Eyes,New West,https://open.spotify.com/track/50x1Ic8CaXkYNvjmxe3WXy
Romantic Homicide,d4vd,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL
Night Changes,One Direction,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
lovely (with Khalid),"Billie Eilish, Khalid",https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
Midnight Rain,Taylor Swift,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4
Until I Found You,Stephen Sanchez,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD
ceilings,Lizzy McAlpine,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI
Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
Glimpse of Us,Joji,https://open.spotify.com/track/4ewazQLXFTDC8XvCbhvtXs
Sial,Mahalini,https://open.spotify.com/track/6dXiWwFrcGieqnoLYzPNp5
When I Was Your Man,Bruno Mars,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
METAMORPHOSIS,INTERWORLD,https://open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz
Shut up My Moms Calling,Hotel Ugly,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx
Lover,Taylor Swift,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
The Night We Met,Lord Huron,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h
Never Felt So Alone,Labrinth,https://open.spotify.com/track/6unndO70DvZfnXYcYQMyQJ
Pink + White,Frank Ocean,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
Say Yes To Heaven - Sped Up,Lana Del Rey,https://open.spotify.com/track/2f5WkystuejnBzgV18GTGa
hotline (edit),Billie Eilish,https://open.spotify.com/track/0WFryfbNKPXVtVQlz5dZ8H
Something in the Orange,Zach Bryan,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
Peaches,Jack Black,https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6
Boat,Ed Sheeran,https://open.spotify.com/track/6jemILri7l5LuPhKs2nuXr
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
The Alcott (feat. Taylor Swift),"The tiol, Taylor Swift",https://open.spotify.com/track/6INztpNwOTlfSKTuPo0HOP
Revenge,XXXTENTACION,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
Interlude : Dawn,Agust D,https://open.spotify.com/track/56tf3cHQkwmvoplotk5QXd
Always,Daniel Caesar,https://open.spotify.com/track/2LlOeW5rVcvl3QcPNPcDus
Heart To Heart,Mac DeMarco,https://open.spotify.com/track/7EAMXbLcL0qXmciM5SwMh2
Sem Aliança no Dedo,"MC Xenon, Os Gemeos da Putaria",https://open.spotify.com/track/22sAwsBH0NoNJXnrBenQuO
THE CONTORTIONIST,Melanie Martinez,https://open.spotify.com/track/19SwuhO0bMiAcg2kyJydmj
TUNNEL VISION,Melanie Martinez,https://open.spotify.com/track/183WuVX0zsr0dHydHkKtGQ
