Title,Artists,Song URL
Cupid - Twin Ver.,FIFTY FIFTY,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
BESO,"ROSALÍA, Rauw Alejandro",https://open.spotify.com/track/609E1JCInJncactoMmkDon
Die For You,The Weeknd,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
Por las Noches,Peso Pluma,https://open.spotify.com/track/2VzCjpKvPB1l1tqLndtAQa
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT
cardigan,Taylor Swift,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
Money Trees,"Kendrick Lamar, Jay Rock",https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
Me Porto Bonito,"Bad Bunny, Chencho Corleone",https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
FLOWER,JISOO,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s
Chanel,"Becky G, Peso Pluma",https://open.spotify.com/track/5RcxRGvmYai7kpFSfxe5GY
Fin de Semana,"Oscar Maydon, Junior H",https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p
La Jumpa,"Arcángel, Bad Bunny",https://open.spotify.com/track/2mnXxnrX5vCGolNkaFvVeM
Feliz Cumpleaños Ferxxo,Feid,https://open.spotify.com/track/2CeKVsFFXG4QzA415QygGb
Eyes Closed,Ed Sheeran,https://open.spotify.com/track/3p7XQpdt8Dr6oMXSvRZ9bg
Under The Influence,Chris Brown,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb
Lavender Haze,Taylor Swift,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
Sure Thing,Miguel,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
Players,Coi Leray,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",https://open.spotify.com/track/6l8mgVN9Xf1hiDIFGA6CTE
Search & Rescue,Drake,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya",https://open.spotify.com/track/5QW9K4A1gMnIi94YUxtsfM
Everybody Wants To Rule The World,Tears For Fears,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
Reminder,The Weeknd,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
Normal,Feid,https://open.spotify.com/track/0T2pB7P1VdXPhLdQZ488uH
Komang,Raim Laode,https://open.spotify.com/track/2AaaE0qvFWtyT8srKNfRhH
Cupido,TINI,https://open.spotify.com/track/04ndZkbKGthTgYSv3xS7en
Efecto,Bad Bunny,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
Stargirl Interlude,"The Weeknd, Lana Del Rey",https://open.spotify.com/track/5gDWsRxpJ2lZAffh5p7K0w
PROVENZA,KAROL G,https://open.spotify.com/track/3HqcNJdZ2seoGxhn0wVNDK
All Of The Girls You Loved Before,Taylor Swift,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
Every Breath You Take,The Police,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
Ditto,NewJeans,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W
One Dance,"Drake, Wizkid, Kyla",https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
Oi Balde - Ao Vivo,Zé Neto & Cristiano,https://open.spotify.com/track/3mzbab4H0iZYkHggSEj0UX
No Se Va - En Vivo,Grupo Frontera,https://open.spotify.com/track/23Lyy7ZXRvzfgH4JtDkKrX
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",https://open.spotify.com/track/1fXnu2HzxbDtoyvFPWG3Bw
What's Love Got to Do with It - 2015 Remaster,Tina Turner,https://open.spotify.com/track/3ErsOxqe2RmXkR65wkygDz
"You're On Your Own, Kid",Taylor Swift,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t
Pelle Coat,Lil Durk,https://open.spotify.com/track/6KlqjCLNImX7W9zYt2Xa7D
Cosas De La Vida,Eros Ramazzotti,https://open.spotify.com/track/0z3Voyxi0FH0SQBc7c4wri
Wish You The Best,Lewis Capaldi,https://open.spotify.com/track/3gdPwk2wyOXNRnTA1KXnEr
Conexões de Máfia (feat. Rich The Kid),"Matuê, Rich The Kid",https://open.spotify.com/track/3ktTWpYdXrYApH54cBo4Ap
Due Vite,Marco Mengoni,https://open.spotify.com/track/4eI0ncpnZuv4A3ssTJRSDY
Mami Chula,"Jhayco, Quevedo",https://open.spotify.com/track/4aJzxp3gimtAdgJn3DL776
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, LISA",https://open.spotify.com/track/5HrIcZOo1DysX53qDRlRnt
MONEY,LISA,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
Mas Rica Que Ayer,"Anuel AA, Mambo Kingz, DJ Luian",https://open.spotify.com/track/3XjvMZqm2AQ8thMCD6w9w2
