Title,Artists,Song URL
WHERE SHE GOES,Bad Bunny,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1
un x100to,"Grupo Frontera, Bad Bunny",https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK
Kill Bill,SZA,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long",https://open.spotify.com/track/1vvcEHQdaUTvWt0EIUYcFK
Angels Like You,Miley Cyrus,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
Last Night,Morgan Wallen,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
I Wanna Be Yours,Arctic Monkeys,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n
Cruel Summer,Taylor Swift,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
I'm Good (Blue),"David Guetta, Bebe Rexha",https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
Hits Different,Taylor Swift,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby
Tattoo,Loreen,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6
Another Love,Tom Odell,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
Like Crazy,Jimin,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR
Yellow,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Frágil,"Yahritza Y Su Esencia, Grupo Frontera",https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0
Coco Chanel,"Eladio Carrion, Bad Bunny",https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Viva La Vida,Coldplay,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi
Sweater Weather,The Neighbourhood,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
Style,Taylor Swift,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y
Dandelions,Ruth B.,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw
Snooze,SZA,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
Enchanted,Taylor Swift,https://open.spotify.com/track/3sqrvkNC6IPTIXvvbx9Arw
Karma,Taylor Swift,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
Escapism.,"RAYE, 070 Shake",https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
Set Fire to the Rain,Adele,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
Chemical,Post Malone,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu
Summertime Sadness,Lana Del Rey,https://open.spotify.com/track/1FEiijYPJtyswChfcpv3p0
Perfect,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
