Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
Ella Baila Sola,"Eslabon Armado, Peso Pluma",0.668,0.758,-5.176,0.033,0.483,0.0,0.834,https://open.spotify.com/track/3qQbCzHBycnDpGskqOWY0E,0
WHERE SHE GOES,Bad Bunny,0.652,0.8,-4.019,0.061,0.143,0.629,0.234,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1,4
La Bebe - Remix,"Yng Lvcas, Peso Pluma",0.812,0.479,-5.678,0.333,0.213,0.0,0.559,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU,1
Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,-8.332,0.033,0.435,0.0,0.726,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,3
un x100to,"Grupo Frontera, Bad Bunny",0.569,0.724,-4.076,0.047,0.228,0.0,0.562,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK,4
Flowers,Miley Cyrus,0.707,0.681,-4.325,0.067,0.063,0.0,0.646,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B,0
Daylight,David Kushner,0.508,0.43,-9.475,0.034,0.83,0.0,0.324,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,2
Kill Bill,SZA,0.644,0.735,-5.747,0.039,0.052,0.144,0.418,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,4
As It Was,Harry Styles,0.52,0.731,-5.338,0.056,0.342,0.001,0.662,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,0
TQG,"KAROL G, Shakira",0.72,0.63,-3.547,0.277,0.673,0.0,0.607,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,1
Classy 101,"Feid, Young Miko",0.859,0.658,-0.00479,0.159,0.145,0.0,0.672,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx,0
TQM,Fuerza Regida,0.786,0.853,-4.955,0.059,0.273,0.0,0.963,https://open.spotify.com/track/368eeEO3Y2uZUQ6S5oIjcu,0
Anti-Hero,Taylor Swift,0.637,0.643,-6.571,0.052,0.13,0.0,0.533,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,3
Calm Down (with Selena Gomez),"Rema, Selena Gomez",0.799,0.802,-5.196,0.037,0.429,0.001,0.811,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps,0
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",0.715,0.62,-6.005,0.048,0.417,0.0,0.172,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,3
Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",0.575,0.5,-7.594,0.071,0.227,0.0,0.506,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2,3
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long",0.715,0.681,-0.00425,0.113,0.129,0.0,0.277,https://open.spotify.com/track/1vvcEHQdaUTvWt0EIUYcFK,4
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",0.558,0.559,-9.222,0.096,0.371,0.0,0.62,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,3
Angels Like You,Miley Cyrus,0.672,0.642,-4.035,0.031,0.098,0.0,0.494,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,4
